OBJECTID__;Shape__;maTinh;tenXa;maXa;danSo;dienTich;ORIG_FID;POINT_X;POINT_Y;NDVI_HCM_B;LST_HCM_BD;TDVI_HCM_B
1;Point;701;Phuong Khanh Hoi;70107071;94507;1.07;1;106,70459600000;10,75904700000;;;
2;Point;701;Phuong Tan Uyen;71105042;73032;94.67;2;106,81962500000;11,08914500000;;;
3;Point;701;Xa Binh Chau;71707166;26054;87.06;3;107,53249800000;10,59246400000;;;
4;Point;701;Xa Binh Hung;70139147;183697;32.63;4;106,65983500000;10,70675900000;0,48510000000;28,97000000000;0,99252204006
5;Point;701;Phuong Long Truong;70145136;73669;24.49;5;106,81237400000;10,79343200000;;;
6;Point;701;Phuong Nhieu Loc;70105069;8809;1.71;6;106,67608300000;10,78553200000;;;
8;Point;701;Phuong An Dong;70109074;81229;1.32;8;106,67162200000;10,75473700000;;;
9;Point;701;Xa Hoc Mon;70137159;93323;16.43;9;106,59133800000;10,90202600000;0,32560000000;32,01000000000;0,90862533533
10;Point;701;Phuong Binh Thoi;70121091;76478;1.52;10;106,64218800000;10,76263000000;-0,16900000000;31,11000000000;0,57532599455
11;Point;701;Xa An Long;71111053;5005;72.2;11;106,69901800000;11,32720000000;0,47630000000;32,67000000000;0,98807894421
12;Point;701;Phuong Phuoc Long;70145139;137331;9.23;12;106,77502400000;10,81791100000;;;
13;Point;701;Phuong Binh Co;71105041;64601;73.69;13;106,76490200000;11,15172100000;0,71580000000;31,97000000000;1,10263321191
14;Point;701;Xa Ba Diem;70137161;204289;27.36;14;106,57423500000;10,85232100000;0,20390000000;35,07000000000;0,83898748501
15;Point;701;Xa Binh Gia;71705014;34262;66.96;15;107,28232500000;10,67159400000;0,65390000000;;1,07419737479
16;Point;701;Phuong Xuan Hoa;70105068;48464;2.22;16;106,68846100000;10,78310200000;;;
17;Point;701;Xa Binh Loi;70139143;4718;54.18;17;106,51617200000;10,75410800000;0,58560000000;30,43000000000;1,04192130221
18;Point;701;Phuong Gia Dinh;70129104;125946;2.76;18;106,69888900000;10,80036600000;;;
19;Point;701;Phuong Thuan Giao;71107032;150781;16.81;19;106,71718000000;10,96551500000;;32,65000000000;
20;Point;701;Xa Nhuan Duc;70135155;40239;62.06;20;106,49856600000;11,03220600000;0,60760000000;34,49000000000;1,05242576935
21;Point;701;Phuong Chanh Hung;70115084;190707;4.61;21;106,67887400000;10,74425800000;;;
22;Point;701;Phuong Ben Cat;71115049;97928;100.89;22;106,62738100000;11,20778200000;0,64400000000;32,01000000000;1,06957935657
23;Point;701;Xa Dong Thanh;70137158;1904;30.16;23;106,64143800000;10,90240500000;0,26630000000;33,29000000000;0,87538562931
24;Point;701;Xa Hiep Phuoc;70141163;67754;63.33;24;106,73550000000;10,63088900000;0,67350000000;27,41000000000;1,08328205007
25;Point;701;Phuong Vinh Tan;71105040;61865;61.35;25;106,71274600000;11,14709300000;0,72770000000;31,33000000000;1,10801624537
26;Point;701;Phuong Phu Tho;70121093;65369;1.37;26;106,65436200000;10,76748400000;;;
27;Point;701;Xa Chau Duc;71705016;2824;84.66;27;107,20807100000;10,73374500000;;;
28;Point;701;Xa Binh My;70135157;6865;82.62;28;106,61426000000;10,97308400000;0,37050000000;34,23000000000;0,93300589494
29;Point;701;Phuong Chanh Phu Hoa;71115050;53916;69.54;29;106,67000600000;11,18436700000;0,67100000000;31,85000000000;1,08212753407
30;Point;701;Phuong Thanh My Tay;70129107;153216;4.4;30;106,71757800000;10,79812200000;;;
31;Point;701;Phuong Phu Dinh;70115085;150389;5.85;31;106,63072400000;10,72575700000;;27,57000000000;
32;Point;701;Phuong Phu Tho Hoa;70128126;140436;3.02;32;106,62705000000;10,79058800000;0,36730000000;32,89000000000;0,93128942870
33;Point;701;Phuong Tan Hoa;70127120;93437;1.47;33;106,65473400000;10,78089900000;;;
34;Point;701;Phuong Vinh Hoi;70107072;63015;1.17;34;106,69700300000;10,75555200000;;;
35;Point;701;Xa Xuan Son;71705017;27368;73.81;35;107,33154200000;10,61858700000;0,59470000000;33,71000000000;1,04627912146
36;Point;701;Phuong An Nhon;70125110;114498;3.23;36;106,68756400000;10,83579800000;0,34140000000;31,99000000000;0,91727858364
37;Point;701;Phuong Phu An;71101046;46142;34.97;37;106,60205700000;11,04581700000;0,44620000000;34,47000000000;0,97272812235
38;Point;701;Phuong Tan Thoi Hiep;70123096;16806;8.06;38;106,63972200000;10,87461800000;0,50520000000;31,65000000000;1,00259662876
39;Point;701;Phuong Long Huong;71703006;31457;41.22;39;107,14955900000;10,49980400000;0,54750000000;29,15000000000;1,02347447452
40;Point;701;Xa Vinh Loc;70139141;12047;48.47;40;106,54254700000;10,81909800000;0,14810000000;35,89000000000;0,80504658250
41;Point;701;Phuong Binh Phu;70111078;75925;2.86;41;106,62972800000;10,74013800000;0,60820000000;30,69000000000;1,05271078649
42;Point;701;Phuong Thu Dau Mot;71101038;88132;15.68;42;106,66163500000;10,96545500000;0,32890000000;35,65000000000;0,91043945433
43;Point;701;Xa Phuoc Hoa;71111055;4247;128.07;43;106,76415100000;11,24249200000;0,38370000000;31,75000000000;0,94005318998
44;Point;701;Phuong Tan Phu;70128127;93117;2.52;44;106,63895800000;10,77743200000;-0,19560000000;;0,55172456897
45;Point;701;Phuong Tam Binh;70145131;153414;10.71;45;106,73301100000;10,87266900000;0,46910000000;29,41000000000;0,98442876837
46;Point;701;Phuong Binh Hung Hoa;70134103;18795;8.47;46;106,60454300000;10,80567600000;0,17550000000;35,39000000000;0,82188807024
47;Point;701;Phuong Phu My;71709007;78641;70.92;47;107,04560900000;10,61093300000;0,33360000000;26,09000000000;0,91301697684
48;Point;701;Phuong Phu Nhuan;70131117;6842;1.46;48;106,67297900000;10,79416500000;;;
49;Point;701;Phuong An Lac;70134099;172134;10.47;49;106,61198300000;10,73594300000;0,79360000000;28,95000000000;1,13736537665
